16385,1036,4,MEASUREDNORM
16386,1035,4,MEASUREDNORM
16387,1038,4,MEASUREDNORM
16388,1037,4,MEASUREDNORM
16389,1040,4,MEASUREDNORM
16390,1039,4,MEASUREDNORM
16391,1042,4,MEASUREDNORM
16392,1041,4,MEASUREDNORM
16393,1043,4,MEASUREDNORM
16394,1044,4,MEASUREDNORM
16395,1046,4,MEASUREDNORM
16396,1045,4,MEASUREDNORM
16397,1048,4,MEASUREDNORM
16398,1047,4,MEASUREDNORM
16399,1050,4,MEASUREDNORM
16400,1049,4,MEASUREDNORM
16401,1058,4,MEASUREDNORM
16402,1057,4,MEASUREDNORM
16403,1024,4,MEASUREDNORM
16404,1023,4,MEASUREDNORM
16405,1026,4,MEASUREDNORM
16406,1025,4,MEASUREDNORM
16407,1028,4,MEASUREDNORM
16408,1027,4,MEASUREDNORM
16409,1030,4,MEASUREDNORM
16410,1029,4,MEASUREDNORM
16411,1032,4,MEASUREDNORM
16412,1031,4,MEASUREDNORM
16413,1034,4,MEASUREDNORM
16414,1033,4,MEASUREDNORM
16415,1052,4,MEASUREDNORM
16416,1051,4,MEASUREDNORM
16417,1054,4,MEASUREDNORM
16418,1053,4,MEASUREDNORM
16419,1056,4,MEASUREDNORM
16420,1055,4,MEASUREDNORM
16421,1020,4,MEASUREDNORM
16422,1019,4,MEASUREDNORM
16423,1022,4,MEASUREDNORM
16424,1021,4,MEASUREDNORM
16425,1127,4,MEASUREDNORM
16426,1126,4,MEASUREDNORM
16427,1125,4,MEASUREDNORM
16428,1124,4,MEASUREDNORM
16429,1123,4,MEASUREDNORM
16430,1129,4,MEASUREDNORM
16431,1128,4,MEASUREDNORM
16432,1132,4,MEASUREDNORM
16433,1131,4,MEASUREDNORM
16434,1130,4,MEASUREDNORM
16435,1137,4,MEASUREDNORM
16436,1136,4,MEASUREDNORM
16437,1135,4,MEASUREDNORM
16438,1134,4,MEASUREDNORM
16439,1133,4,MEASUREDNORM
16440,1142,4,MEASUREDNORM
16441,1141,4,MEASUREDNORM
16442,1140,4,MEASUREDNORM
16443,1139,4,MEASUREDNORM
16444,1138,4,MEASUREDNORM
16445,1143,4,MEASUREDNORM
16446,1121,4,MEASUREDNORM
16447,1122,4,MEASUREDNORM
16458,10851,4,MEASUREDNORM
16459,10850,4,MEASUREDNORM
16460,10849,4,MEASUREDNORM
16461,10848,4,MEASUREDNORM
16462,10847,4,MEASUREDNORM
16463,10846,4,MEASUREDNORM
16464,10857,4,MEASUREDNORM
16465,10856,4,MEASUREDNORM
16466,10855,4,MEASUREDNORM
16467,10854,4,MEASUREDNORM
16468,10853,4,MEASUREDNORM
16469,10852,4,MEASUREDNORM
16470,10911,4,MEASUREDNORM
16471,10910,4,MEASUREDNORM
16472,10909,4,MEASUREDNORM
16473,10908,4,MEASUREDNORM
16474,10907,4,MEASUREDNORM
16475,10906,4,MEASUREDNORM
16476,10917,4,MEASUREDNORM
16477,10916,4,MEASUREDNORM
16478,10915,4,MEASUREDNORM
16479,10914,4,MEASUREDNORM
16480,10913,4,MEASUREDNORM
16481,10912,4,MEASUREDNORM
16482,10923,4,MEASUREDNORM
16483,10922,4,MEASUREDNORM
16484,10921,4,MEASUREDNORM
16485,10920,4,MEASUREDNORM
16486,10919,4,MEASUREDNORM
16487,10918,4,MEASUREDNORM
16488,10815,4,MEASUREDNORM
16489,10814,4,MEASUREDNORM
16490,10813,4,MEASUREDNORM
16491,10812,4,MEASUREDNORM
16492,10811,4,MEASUREDNORM
16493,10810,4,MEASUREDNORM
16494,10821,4,MEASUREDNORM
16495,10820,4,MEASUREDNORM
16496,10819,4,MEASUREDNORM
16497,10818,4,MEASUREDNORM
16498,10817,4,MEASUREDNORM
16499,10816,4,MEASUREDNORM
16500,10935,4,MEASUREDNORM
16501,10934,4,MEASUREDNORM
16502,10933,4,MEASUREDNORM
16503,10932,4,MEASUREDNORM
16504,10931,4,MEASUREDNORM
16505,10930,4,MEASUREDNORM
16506,10941,4,MEASUREDNORM
16507,10940,4,MEASUREDNORM
16508,10939,4,MEASUREDNORM
16509,10938,4,MEASUREDNORM
16510,10937,4,MEASUREDNORM
16511,10936,4,MEASUREDNORM
16512,10863,4,MEASUREDNORM
